Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001487,Male,No,0,Graduate,No,4725,0,98,240,1,Semiurban,Y
LP001894,Male,Yes,0,Graduate,No,2643,1655,156,180,1,Semiurban,Y
LP002370,Male,No,0,Not Graduate,No,3156,0,60,180,0,Urban,Y
LP001431,Female,No,0,Graduate,No,2079,9832,137,180,0,Semiurban,Y
LP001608,Male,Yes,2,Graduate,No,1814,1712,101,360,1,Rural,Y
LP002377,Female,No,1,Graduate,Yes,9270,0,144,360,1,Semiurban,Y
LP001003,Male,Yes,1,Graduate,No,4312,1766,159,120,1,Rural,N
LP001868,Male,No,0,Graduate,No,2235,2226,119,120,0,Semiurban,Y
LP002692,Male,Yes,3+,Graduate,Yes,5071,1658,86,120,1,Rural,Y
LP002936,Male,Yes,0,Graduate,No,3876,3356,151,240,1,Rural,Y
LP002116,Female,No,0,Graduate,No,2093,0,52,240,1,Rural,N
LP002619,Male,Yes,0,Not Graduate,No,4325,1411,127,120,1,Semiurban,Y
LP002517,Male,Yes,1,Not Graduate,No,2008,1500,109,240,1,Rural,N
LP002086,Female,Yes,0,Graduate,No,4827,2242,90,180,0,Urban,N
LP002002,Female,No,0,Graduate,No,2839,0,83,180,0,Semiurban,Y
LP002917,Female,No,0,Not Graduate,No,1714,0,75,360,1,Semiurban,Y
LP002387,Male,Yes,0,Graduate,No,2394,2732,146,240,0,Semiurban,Y
LP001744,Male,No,0,Graduate,No,3249,2872,155,360,1,Semiurban,Y
LP001744,Male,No,0,Graduate,No,2649,3008,166,240,1,Semiurban,Y
LP001489,Female,Yes,0,Graduate,No,4644,0,86,240,1,Rural,N
LP002689,Male,Yes,2,Not Graduate,No,2385,1685,45,120,0,Semiurban,Y
LP001716,Male,Yes,0,Graduate,No,2916,2872,114,180,0,Urban,Y
LP001489,Female,Yes,0,Graduate,No,4474,0,88,240,1,Rural,N
LP002361,Male,Yes,0,Graduate,No,1746,1688,102,360,0,Urban,Y
LP001606,Male,Yes,0,Graduate,No,3556,1881,128,360,0,Rural,Y
LP001790,Female,No,1,Graduate,No,3637,0,108,240,1,Rural,Y
LP002361,Male,Yes,0,Graduate,No,1940,1299,98,360,0,Urban,Y
LP001228,Male,No,0,Not Graduate,No,3181,2204,138,180,1,Urban,N
LP001915,Male,Yes,2,Graduate,No,2322,1069,80,240,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,1556,0,41,360,0,Urban,N
LP001743,Male,Yes,2,Graduate,No,4281,1607,123,180,0,Semiurban,Y
LP001765,Male,Yes,1,Graduate,No,2175,2240,88,240,0,Semiurban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,4779,0,92,360,0,Rural,Y
LP001698,Male,No,0,Not Graduate,No,4547,2308,53,120,1,Rural,Y
LP002361,Male,Yes,0,Graduate,No,2209,1805,101,180,1,Urban,Y
LP001841,Male,No,0,Not Graduate,Yes,2610,2180,92,240,1,Rural,Y
LP002979,Male,Yes,3+,Graduate,No,4001,0,41,360,1,Rural,Y
LP001900,Male,Yes,1,Graduate,No,2296,1840,89,360,1,Semiurban,Y
LP001206,Male,Yes,3+,Graduate,No,3148,0,102,120,1,Urban,Y
LP001994,Female,No,0,Graduate,No,2469,1903,113,240,0,Urban,N
LP002519,Male,Yes,3+,Graduate,No,4884,0,96,180,1,Semiurban,Y
LP002714,Male,No,1,Not Graduate,No,2236,1236,86,180,1,Semiurban,Y
LP002776,Female,No,0,Graduate,No,4136,0,105,240,0,Semiurban,N
LP001917,Female,No,0,Graduate,No,1824,1940,55,360,1,Urban,Y
LP002670,Female,Yes,2,Graduate,No,1908,1564,87,360,1,Semiurban,Y
LP001688,Male,Yes,1,Not Graduate,No,3621,1096,141,360,0,Urban,Y
LP001577,Female,Yes,0,Graduate,No,4768,0,131,180,0,Rural,N
LP001849,Male,No,0,Not Graduate,No,6522,0,98,180,1,Rural,N
LP001792,Male,Yes,1,Graduate,No,3298,0,95,360,1,Semiurban,Y
LP001743,Male,Yes,2,Graduate,No,4898,1829,95,240,1,Semiurban,Y
LP001894,Male,Yes,0,Graduate,No,3158,2276,152,360,1,Semiurban,Y
LP001765,Male,Yes,1,Graduate,No,2753,1601,97,120,0,Semiurban,Y
LP001693,Female,No,0,Graduate,No,3445,0,83,120,0,Urban,Y
LP002142,Female,Yes,0,Graduate,Yes,5596,0,100,360,0,Rural,N
LP002586,Female,Yes,1,Graduate,No,3072,995,107,120,1,Semiurban,Y
LP002493,Male,No,0,Graduate,No,4783,0,95,360,1,Semiurban,N
LP002789,Male,Yes,0,Graduate,No,3791,4587,143,240,0,Rural,N
LP001073,Male,Yes,2,Not Graduate,No,4010,1185,120,120,1,Urban,Y
LP002776,Female,No,0,Graduate,No,5327,0,92,240,1,Semiurban,N
LP001698,Male,No,0,Not Graduate,No,4073,2326,58,240,1,Rural,Y
LP001038,Male,Yes,0,Not Graduate,No,4905,0,119,120,1,Rural,N
LP001572,Male,Yes,0,Graduate,No,8066,0,86,180,0,Urban,Y
LP002868,Male,Yes,2,Graduate,No,3158,531,119,360,0,Urban,Y
LP002792,Male,Yes,1,Graduate,No,6051,1110,24,240,0,Semiurban,Y
LP002318,Female,No,1,Not Graduate,Yes,3704,0,66,360,1,Semiurban,N
LP001195,Male,Yes,0,Graduate,No,2227,1555,93,120,1,Semiurban,Y
LP002265,Male,Yes,2,Not Graduate,No,2436,1202,107,120,1,Semiurban,Y
LP001493,Male,Yes,2,Not Graduate,No,3935,1396,123,180,1,Rural,N
LP001658,Male,No,0,Graduate,No,4263,0,88,180,0,Semiurban,Y
LP002472,Male,No,2,Graduate,No,5126,0,123,120,1,Rural,Y
LP002187,Male,No,0,Graduate,No,2555,0,91,180,1,Semiurban,N
LP001255,Male,No,0,Graduate,No,3657,0,113,240,1,Urban,N
LP001658,Male,No,0,Graduate,No,4031,0,75,120,1,Semiurban,Y
LP001206,Male,Yes,3+,Graduate,No,2821,0,118,240,0,Urban,Y
LP002142,Female,Yes,0,Graduate,Yes,5863,0,102,360,1,Rural,N
LP001868,Male,No,0,Graduate,No,1973,2083,154,180,1,Semiurban,Y
LP001112,Female,Yes,0,Graduate,No,3339,1449,163,360,1,Semiurban,Y
LP002448,Male,Yes,0,Graduate,No,4264,1920,161,180,1,Rural,N
LP002116,Female,No,0,Graduate,No,2246,0,44,360,1,Rural,N
LP001884,Female,No,1,Graduate,No,3040,1631,98,120,1,Urban,Y
LP001698,Male,No,0,Not Graduate,No,3404,2479,55,240,0,Rural,Y
LP001345,Male,Yes,2,Not Graduate,No,3577,2782,130,360,0,Urban,Y
LP001608,Male,Yes,2,Graduate,No,1704,1485,103,240,0,Rural,Y
LP002387,Male,Yes,0,Graduate,No,2428,2789,143,120,1,Semiurban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,5360,0,120,240,1,Rural,Y
LP002536,Male,Yes,3+,Not Graduate,No,3513,0,114,360,1,Rural,Y
LP002131,Male,Yes,2,Not Graduate,No,3431,2433,114,360,0,Urban,Y
LP002493,Male,No,0,Graduate,No,4405,0,119,120,1,Semiurban,N
LP001824,Male,Yes,1,Graduate,No,2881,1963,141,360,0,Semiurban,Y
LP002974,Male,Yes,0,Graduate,No,3319,1829,101,360,0,Rural,Y
LP001073,Male,Yes,2,Not Graduate,No,4116,963,108,180,0,Urban,Y
LP002494,Male,No,0,Graduate,No,5333,0,136,240,0,Rural,Y
LP001702,Male,No,0,Graduate,No,3213,0,126,120,0,Semiurban,N
LP002236,Male,Yes,2,Graduate,No,4244,0,83,240,1,Urban,N
LP002225,Male,Yes,2,Graduate,No,5808,0,124,360,1,Urban,Y
LP001279,Male,No,0,Graduate,No,2272,2618,158,120,0,Semiurban,Y
LP002377,Female,No,1,Graduate,Yes,8458,0,113,360,1,Semiurban,Y
LP002004,Male,No,0,Not Graduate,No,3554,2463,109,360,0,Semiurban,Y
LP001904,Male,Yes,0,Graduate,No,3009,1170,81,120,0,Urban,Y
LP002586,Female,Yes,1,Graduate,No,2952,843,130,240,0,Semiurban,Y
LP002544,Male,Yes,1,Not Graduate,No,1766,2178,134,180,1,Rural,Y
LP001974,Female,No,0,Graduate,No,4904,0,138,120,0,Rural,Y
LP002387,Male,Yes,0,Graduate,No,2123,2307,148,180,1,Semiurban,Y
LP002917,Female,No,0,Not Graduate,No,2404,0,57,240,0,Semiurban,Y
LP002484,Male,Yes,3+,Graduate,No,5941,0,132,180,1,Urban,Y
LP002368,Male,Yes,2,Graduate,No,6550,0,123,360,0,Semiurban,Y
LP001265,Female,No,0,Graduate,No,4328,0,101,360,1,Semiurban,Y
LP002224,Male,No,0,Graduate,No,3490,0,70,120,1,Urban,N
LP002224,Male,No,0,Graduate,No,3125,0,67,180,1,Urban,N
LP002318,Female,No,1,Not Graduate,Yes,4524,0,61,120,1,Semiurban,N
LP002361,Male,Yes,0,Graduate,No,1579,1555,85,360,0,Urban,Y
LP002142,Female,Yes,0,Graduate,Yes,4978,0,95,240,1,Rural,N
LP001116,Male,No,0,Not Graduate,No,4008,1863,122,240,1,Semiurban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,8479,0,111,120,1,Urban,Y
LP002142,Female,Yes,0,Graduate,Yes,6139,0,107,180,0,Rural,N
LP002587,Male,Yes,0,Not Graduate,No,2488,1821,112,180,0,Rural,Y
LP002893,Male,No,0,Graduate,No,1687,38331,88,360,1,Urban,N
LP002494,Male,No,0,Graduate,No,7045,0,158,180,0,Rural,Y
LP001819,Male,Yes,1,Not Graduate,No,6544,0,156,120,0,Urban,Y
LP001800,Male,Yes,1,Not Graduate,No,2490,1917,123,360,1,Urban,N
LP001493,Male,Yes,2,Not Graduate,No,4765,1509,132,120,0,Rural,N
LP001228,Male,No,0,Not Graduate,No,2866,2601,127,180,0,Urban,N
LP002484,Male,Yes,3+,Graduate,No,7685,0,136,120,0,Urban,Y
LP001924,Male,No,0,Graduate,No,3566,2995,82,120,0,Rural,Y
LP002288,Male,Yes,2,Not Graduate,No,2948,0,42,240,0,Urban,N
LP002755,Male,Yes,1,Not Graduate,No,2431,2544,146,120,1,Urban,Y
LP001658,Male,No,0,Graduate,No,4419,0,79,360,0,Semiurban,Y
LP002537,Male,Yes,0,Graduate,No,2098,3642,141,180,0,Semiurban,Y
LP001199,Male,Yes,2,Not Graduate,No,2926,2761,133,180,1,Urban,Y
LP001333,Male,Yes,0,Graduate,No,2068,959,45,180,1,Semiurban,Y
LP002455,Male,Yes,2,Graduate,No,3195,0,83,240,0,Semiurban,Y
LP001493,Male,Yes,2,Not Graduate,No,5318,1316,156,120,0,Rural,N
LP001954,Female,Yes,1,Graduate,No,5088,0,123,120,1,Urban,Y
LP002332,Male,Yes,0,Not Graduate,No,2434,2362,112,240,1,Rural,Y
LP001924,Male,No,0,Graduate,No,3354,3145,94,120,1,Rural,Y
LP001711,Male,Yes,3+,Graduate,No,3423,1375,122,240,1,Semiurban,N
LP002345,Male,Yes,0,Graduate,No,1122,2712,128,240,0,Rural,Y
LP002448,Male,Yes,0,Graduate,No,3983,1786,136,180,1,Rural,N
LP001008,Male,No,0,Graduate,No,6330,0,149,120,1,Urban,Y
LP002836,Male,No,0,Graduate,No,3316,0,55,120,1,Urban,Y
LP002446,Male,Yes,2,Not Graduate,No,2383,1038,144,120,1,Rural,N
LP002741,Female,Yes,1,Graduate,No,4513,2533,141,120,1,Semiurban,Y
LP002443,Male,Yes,2,Graduate,No,4426,1575,125,180,0,Rural,N
LP001868,Male,No,0,Graduate,No,2017,2458,147,360,1,Semiurban,Y
LP002755,Male,Yes,1,Not Graduate,No,2312,2622,119,360,0,Urban,Y
LP001535,Male,No,0,Graduate,No,3590,0,57,120,1,Urban,Y
LP001792,Male,Yes,1,Graduate,No,3484,0,100,360,0,Semiurban,Y
LP001720,Male,Yes,3+,Not Graduate,No,3534,1067,122,180,1,Semiurban,Y
LP001825,Male,Yes,0,Graduate,No,1753,2046,68,120,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,2284,1569,107,120,1,Urban,Y
LP002151,Male,Yes,1,Graduate,No,3969,0,71,120,1,Urban,N
LP001487,Male,No,0,Graduate,No,5818,0,99,360,0,Semiurban,Y
LP001936,Male,Yes,0,Graduate,No,3678,2316,155,360,0,Rural,Y
LP001603,Male,Yes,0,Not Graduate,Yes,4003,903,98,240,1,Semiurban,N
LP002300,Female,No,0,Not Graduate,No,1690,0,52,240,0,Semiurban,Y
LP002225,Male,Yes,2,Graduate,No,5893,0,131,120,1,Urban,Y
LP002347,Male,Yes,0,Graduate,No,3396,1503,126,120,1,Semiurban,Y
LP001265,Female,No,0,Graduate,No,4096,0,93,120,1,Semiurban,Y
LP002097,Male,No,1,Graduate,No,4219,1518,110,360,0,Urban,Y
LP002284,Male,No,0,Not Graduate,No,3817,1898,90,180,0,Rural,Y
LP001248,Male,No,0,Graduate,No,3720,0,76,120,0,Semiurban,Y
LP001692,Female,No,0,Not Graduate,No,4791,0,112,360,1,Semiurban,Y
LP001482,Male,Yes,0,Graduate,Yes,3475,0,25,240,1,Semiurban,Y
LP002332,Male,Yes,0,Not Graduate,No,2147,1842,109,120,0,Rural,Y
LP002244,Male,Yes,0,Graduate,No,1930,2685,135,240,0,Urban,Y
LP002287,Female,No,0,Graduate,No,1681,1263,100,180,1,Semiurban,N
LP002916,Male,Yes,0,Graduate,No,2297,1522,104,120,0,Urban,Y
LP001722,Male,Yes,0,Graduate,No,131,1911,152,120,1,Rural,N
LP002379,Male,No,0,Graduate,No,5595,0,80,240,0,Rural,N
LP001319,Male,Yes,2,Not Graduate,No,3021,2044,80,180,1,Urban,Y
LP002002,Female,No,0,Graduate,No,3081,0,101,120,0,Semiurban,Y
LP001938,Male,Yes,2,Graduate,No,4211,0,130,240,1,Semiurban,N
LP001155,Female,Yes,0,Not Graduate,No,2245,1797,79,240,0,Semiurban,Y
LP002916,Male,Yes,0,Graduate,No,2559,1666,116,240,0,Urban,Y
LP002004,Male,No,0,Not Graduate,No,3026,2545,105,240,0,Semiurban,Y
LP002517,Male,Yes,1,Not Graduate,No,2462,1369,108,360,1,Rural,N
LP002684,Female,No,0,Not Graduate,No,3327,0,112,240,1,Rural,N
LP002916,Male,Yes,0,Graduate,No,2137,1684,99,180,1,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,6974,0,134,360,1,Urban,Y
LP001327,Female,Yes,0,Graduate,No,2188,2152,144,180,1,Semiurban,Y
LP002296,Male,No,0,Not Graduate,No,2434,0,64,120,0,Rural,N
LP002519,Male,Yes,3+,Graduate,No,3577,0,96,360,1,Semiurban,Y
LP002690,Male,No,0,Graduate,No,2639,0,60,120,0,Semiurban,Y
LP001884,Female,No,1,Graduate,No,3029,1466,109,360,1,Urban,Y
LP001194,Male,Yes,2,Graduate,No,2681,1119,87,240,0,Semiurban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,4661,0,138,240,0,Rural,Y
LP001884,Female,No,1,Graduate,No,2789,1548,94,180,0,Urban,Y
LP001385,Male,No,0,Graduate,No,4172,0,161,240,0,Urban,Y
LP001894,Male,Yes,0,Graduate,No,2812,2108,159,120,1,Semiurban,Y
LP002068,Male,No,0,Graduate,No,5417,0,121,180,0,Rural,Y
LP002836,Male,No,0,Graduate,No,3269,0,69,180,1,Urban,Y
LP002505,Male,Yes,0,Graduate,No,4560,2283,111,180,0,Urban,N
LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,180,1,Urban,Y
LP002224,Male,No,0,Graduate,No,2794,0,74,240,1,Urban,N
LP001432,Male,Yes,2,Graduate,No,2988,0,77,180,0,Semiurban,Y
LP002894,Female,Yes,0,Graduate,No,3617,0,32,240,1,Semiurban,Y
LP002868,Male,Yes,2,Graduate,No,3075,377,123,360,0,Urban,Y
LP001528,Male,No,0,Graduate,No,6915,0,119,180,1,Rural,N
LP001528,Male,No,0,Graduate,No,5738,0,124,120,1,Rural,N
LP002035,Male,Yes,2,Graduate,No,3583,0,130,360,0,Semiurban,Y
LP002978,Female,No,0,Graduate,No,3069,0,72,240,1,Rural,Y
LP001674,Male,Yes,1,Not Graduate,No,2123,2204,88,120,1,Semiurban,Y
LP002053,Male,Yes,3+,Graduate,No,4546,191,136,120,1,Semiurban,Y
LP002345,Male,Yes,0,Graduate,No,904,2508,119,180,0,Rural,Y
LP002308,Male,Yes,0,Not Graduate,No,2007,2374,135,120,1,Urban,Y
LP001715,Male,Yes,3+,Not Graduate,Yes,4796,0,120,120,1,Rural,Y
LP001664,Male,No,0,Graduate,No,4858,0,125,240,1,Rural,Y
LP002716,Male,No,0,Not Graduate,No,6736,0,148,120,0,Semiurban,Y
LP002741,Female,Yes,1,Graduate,No,5100,2704,146,360,0,Semiurban,Y
LP001892,Male,No,0,Graduate,No,3128,1815,107,360,0,Rural,Y
LP001894,Male,Yes,0,Graduate,No,3158,2276,152,120,0,Semiurban,Y
LP002500,Male,Yes,3+,Not Graduate,No,2956,1597,76,180,0,Urban,N
LP001432,Male,Yes,2,Graduate,No,3129,0,79,180,1,Semiurban,Y
LP001259,Male,Yes,1,Graduate,Yes,1172,2763,121,180,0,Urban,N
LP001877,Male,Yes,2,Graduate,No,4507,1350,151,360,1,Semiurban,Y
LP001384,Male,Yes,3+,Not Graduate,No,1936,708,84,360,0,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,1968,1719,79,360,1,Semiurban,Y
LP001345,Male,Yes,2,Not Graduate,No,4002,3425,151,360,0,Urban,Y
LP002151,Male,Yes,1,Graduate,No,4065,0,66,360,1,Urban,N
LP001750,Male,Yes,0,Graduate,No,6627,0,128,180,1,Semiurban,Y
LP001514,Female,Yes,0,Graduate,No,2243,4235,111,120,0,Semiurban,Y
LP001487,Male,No,0,Graduate,No,5405,0,105,120,1,Semiurban,Y
LP001871,Female,No,0,Graduate,No,6443,0,120,360,0,Rural,Y
LP002370,Male,No,0,Not Graduate,No,2512,0,55,180,0,Urban,Y
LP002603,Female,No,0,Graduate,No,610,4164,118,120,0,Rural,Y
LP001849,Male,No,0,Not Graduate,No,5796,0,110,120,1,Rural,N
LP002296,Male,No,0,Not Graduate,No,2950,0,54,240,1,Rural,N
LP001097,Male,No,1,Graduate,Yes,4833,0,100,360,0,Rural,N
LP002053,Male,Yes,3+,Graduate,No,3973,214,121,180,1,Semiurban,Y
LP002126,Male,Yes,3+,Not Graduate,No,2954,0,73,120,1,Semiurban,Y
LP002841,Male,Yes,0,Graduate,No,3128,1943,118,360,1,Urban,N
LP002755,Male,Yes,1,Not Graduate,No,1893,2816,135,180,0,Urban,Y
LP002978,Female,No,0,Graduate,No,2919,0,64,120,0,Rural,Y
LP001868,Male,No,0,Graduate,No,1764,2460,155,240,0,Semiurban,Y
LP001664,Male,No,0,Graduate,No,4486,0,115,180,1,Rural,Y
LP001722,Male,Yes,0,Graduate,No,143,1814,120,180,1,Rural,N
LP001936,Male,Yes,0,Graduate,No,2791,1920,146,120,1,Rural,Y
LP001259,Male,Yes,1,Graduate,Yes,901,2788,118,180,0,Urban,N
LP001616,Male,Yes,1,Graduate,No,4837,0,110,180,1,Semiurban,Y
LP002361,Male,Yes,0,Graduate,No,1846,1488,92,180,1,Urban,Y
LP001914,Male,Yes,0,Graduate,No,3417,879,108,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,3280,967,92,120,1,Urban,Y
LP002053,Male,Yes,3+,Graduate,No,4579,154,132,180,0,Semiurban,Y
LP002807,Male,Yes,2,Not Graduate,No,3514,202,121,180,1,Semiurban,Y
LP001473,Male,No,0,Graduate,No,1953,1664,88,120,1,Urban,Y
LP001664,Male,No,0,Graduate,No,4193,0,118,240,1,Rural,Y
LP001119,Male,No,0,Graduate,No,3893,0,98,240,1,Urban,N
LP002841,Male,Yes,0,Graduate,No,3258,2230,99,180,1,Urban,N
LP002455,Male,Yes,2,Graduate,No,3234,0,100,120,0,Semiurban,Y
LP001384,Male,Yes,3+,Not Graduate,No,2017,674,84,240,1,Semiurban,Y
LP002772,Male,No,0,Graduate,No,2612,2053,138,240,1,Rural,Y
LP001482,Male,Yes,0,Graduate,Yes,3254,0,26,120,1,Semiurban,Y
LP002175,Male,Yes,0,Graduate,No,3981,1936,128,120,0,Urban,Y
LP002318,Female,No,1,Not Graduate,Yes,3152,0,69,120,0,Semiurban,N
LP001112,Female,Yes,0,Graduate,No,3975,1691,135,240,0,Semiurban,Y
LP001894,Male,Yes,0,Graduate,No,2529,1562,140,360,1,Semiurban,Y
LP001144,Male,Yes,0,Graduate,No,6371,0,146,180,0,Urban,Y
LP001900,Male,Yes,1,Graduate,No,2336,1896,110,360,1,Semiurban,Y
LP002287,Female,No,0,Graduate,No,1418,1797,100,240,1,Semiurban,N
LP002175,Male,Yes,0,Graduate,No,5363,2206,145,360,1,Urban,Y
LP002979,Male,Yes,3+,Graduate,No,3217,0,36,360,0,Rural,Y
LP001778,Male,Yes,1,Graduate,No,3343,1728,151,240,0,Semiurban,Y
LP001333,Male,Yes,0,Graduate,No,1493,939,48,360,1,Semiurban,Y
LP001658,Male,No,0,Graduate,No,3565,0,74,120,0,Semiurban,Y
LP002917,Female,No,0,Not Graduate,No,2520,0,60,240,0,Semiurban,Y
LP001520,Male,Yes,0,Graduate,No,5117,766,131,120,1,Semiurban,Y
LP001722,Male,Yes,0,Graduate,No,150,1800,135,360,0,Rural,N
LP002926,Male,Yes,2,Graduate,Yes,2758,0,103,180,0,Semiurban,N
LP002692,Male,Yes,3+,Graduate,Yes,6064,1424,78,360,0,Rural,Y
LP001036,Female,No,0,Graduate,No,3730,0,70,180,1,Urban,N
LP002619,Male,Yes,0,Not Graduate,No,4558,1327,109,180,1,Semiurban,Y
LP001518,Male,Yes,1,Graduate,No,1655,1582,33,180,1,Urban,Y
LP002863,Male,Yes,3+,Graduate,No,6729,0,154,360,0,Semiurban,N
LP001119,Male,No,0,Graduate,No,3065,0,89,180,1,Urban,N
LP002455,Male,Yes,2,Graduate,No,4468,0,104,180,1,Semiurban,Y
LP002606,Female,No,0,Graduate,No,3478,0,79,120,0,Semiurban,Y
LP001120,Male,No,0,Graduate,No,1805,1254,42,180,1,Urban,Y
LP001343,Male,Yes,0,Graduate,No,1899,4520,126,240,1,Semiurban,Y
LP001807,Male,Yes,2,Graduate,Yes,6716,1279,118,360,1,Rural,Y
LP001963,Male,Yes,1,Graduate,No,1891,2967,106,180,0,Urban,N
LP001164,Female,No,0,Graduate,No,3808,0,110,240,0,Semiurban,N
LP001894,Male,Yes,0,Graduate,No,2530,2303,132,240,1,Semiurban,Y
LP002347,Male,Yes,0,Graduate,No,2894,1558,152,360,0,Semiurban,Y
LP001038,Male,Yes,0,Not Graduate,No,4993,0,134,180,1,Rural,N
LP002619,Male,Yes,0,Not Graduate,No,3672,1509,131,120,0,Semiurban,Y
LP002151,Male,Yes,1,Graduate,No,3306,0,60,120,1,Urban,N
LP002277,Female,No,0,Graduate,No,3585,0,78,180,1,Urban,N
LP001925,Female,No,0,Graduate,Yes,2445,1705,105,120,1,Semiurban,N
LP001073,Male,Yes,2,Not Graduate,No,3969,1055,121,120,1,Urban,Y
LP002789,Male,Yes,0,Graduate,No,3220,4792,125,240,1,Rural,N
LP002940,Male,No,0,Not Graduate,No,4146,0,100,120,1,Rural,Y
LP001807,Male,Yes,2,Graduate,Yes,6476,1256,110,120,1,Rural,Y
LP001068,Male,Yes,0,Graduate,No,2542,2094,112,360,0,Semiurban,Y
LP002571,Male,No,0,Not Graduate,No,3323,0,102,240,1,Rural,Y
LP002418,Male,No,3+,Not Graduate,No,4239,1916,147,180,1,Semiurban,Y
LP002244,Male,Yes,0,Graduate,No,2542,2357,138,120,1,Urban,Y
LP001432,Male,Yes,2,Graduate,No,3118,0,79,360,1,Semiurban,Y
LP001116,Male,No,0,Not Graduate,No,3418,1884,117,120,0,Semiurban,Y
